1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
100,100
99,101
98,102
97,103
96,104
95,105
94,106
93,107
92,108
91,109
90,110
89,111
88,112
87,113
86,114
85,115
84,116
83,117
82,118
81,119
80,120
79,121
78,122
77,123
76,124
75,125
74,126
73,127
72,128
71,129
70,130
69,131
68,132
67,133
66,134
65,135
64,136
63,137
62,138
61,139
60,140
59,141
58,142
57,143
56,144
55,145
54,146
53,147
52,148
51,149
50,150
49,151
48,152
47,153
46,154
45,155
44,156
43,157
42,158
41,159
40,160
39,161
38,162
37,163
36,164
35,165
34,166
33,167
32,168
31,169
30,170
29,171
28,172
27,173
26,174
25,175
24,176
23,177
22,178
21,179
20,180
19,181
18,182
17,183
16,184
15,185
14,186
13,187
12,188
11,189
10,190
9,191
8,192
7,193
6,194
5,195
4,196
3,197
2,198
1,199
0,200
